cluster,station_name,state,district,date_of_record,avg_temp,min_temp,max_temp,humidity,relative_humidity_pct,dew_point_c,absolute_humidity_g_m3,wind_speed,air_pressure,rainfall,elevation,latitude,longitude
Punjab Plains,Ambala,HR,Ambala,2021-01-21,12.8,7.9,19.2,71.99423187168648,71.99423187168648,7.872962867541783,8.049759422118457,14.7,1012.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-22,12.6,7.9,19.5,70.65705979768211,70.65705979768211,7.405602142314187,7.802954573474826,9.5,1015.2,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-23,15.5,10.1,19.6,69.38911682871911,69.38911682871911,9.917400244810775,9.15354356798566,13.0,1013.2,5.9,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-24,12.3,9.9,20.3,71.50534143736562,71.50534143736562,7.292230189840092,7.7509187408189675,6.3,1016.4,3.2,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-25,12.6,7.5,17.9,68.83487930995302,68.83487930995302,7.023383800031475,7.601723562573228,7.5,1018.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-26,11.9,5.4,17.7,66.35195221322628,66.35195221322628,5.820939615332797,7.015405625413142,8.5,1017.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-27,12.2,4.6,20.0,66.65137121552944,66.65137121552944,6.172101184823905,7.179978754649878,9.2,1017.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-28,10.0,4.4,20.8,72.09104092010476,72.09104092010476,5.19851149936306,6.76433038964248,5.7,1018.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-29,11.7,4.5,17.9,69.88968012309387,69.88968012309387,6.382941499638248,7.2977872046545045,10.2,1018.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-30,12.9,5.9,19.4,69.90917488496906,69.90917488496906,7.537363132340348,7.865149178361683,12.4,1016.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-31,13.1,4.4,20.2,70.4842233689368,70.4842233689368,7.8494610988414335,8.028481213406788,7.2,1017.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-01,14.0,5.4,20.9,65.40955272571314,65.40955272571314,7.611516097398029,7.874720971058055,6.8,1019.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-02,14.8,5.4,21.6,66.4799550304347,66.4799550304347,8.612087436354471,8.40464555775768,5.6,1017.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-03,17.1,11.1,22.8,64.17631906638874,64.17631906638874,10.272884053052497,9.321872691904865,10.4,1017.2,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-04,11.8,9.8,22.8,71.08103629857591,71.08103629857591,6.724870151774883,7.468673242296709,8.3,1018.4,2.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-05,13.3,5.3,19.6,75.01074438607625,75.01074438607625,8.961272448677912,8.650177202422597,5.2,1018.6,23.1,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-06,14.3,6.9,20.8,67.69086561583546,67.69086561583546,8.40206304653136,8.300476508240882,9.8,1018.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-07,15.0,7.5,21.2,65.06130684057604,65.06130684057604,8.483436351247587,8.326048355040225,11.6,1017.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-08,15.8,8.1,22.1,64.32634864613874,64.32634864613874,9.074705236525999,8.641131898002437,7.4,1017.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-09,15.0,9.4,22.4,66.16374534161999,66.16374534161999,8.731986019721782,8.467130001165804,8.7,1014.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-10,16.2,8.3,24.0,65.16012299187335,65.16012299187335,9.64610967205328,8.966978870733753,6.4,1013.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-11,15.8,8.9,22.6,69.1236098508454,69.1236098508454,10.147163393262774,9.285560933561081,9.0,1013.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-12,15.4,9.9,22.1,71.18354720013555,71.18354720013555,10.203569239128415,9.333518171540844,6.5,1014.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-13,16.9,10.9,22.0,65.19654625362872,65.19654625362872,10.319507533090052,9.357356779372385,5.7,1015.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-14,16.2,8.4,22.8,67.6010811104714,67.6010811104714,10.195805736051502,9.30289014389916,5.4,1015.2,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-15,16.7,8.1,23.4,71.62805982006576,71.62805982006576,11.545918559388914,10.157895998880795,4.2,1013.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-16,16.9,9.0,24.8,65.36414745231691,65.36414745231691,10.35800950019245,9.381411799199276,4.5,1013.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-17,17.6,8.5,25.8,65.36737014831726,65.36737014831726,11.023927518475464,9.782565830493766,4.1,1014.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-18,18.8,9.7,26.2,63.883956004610866,63.883956004610866,11.815282648011467,10.265672090754714,4.0,1017.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-19,17.8,10.1,26.5,66.48399720909227,66.48399720909227,11.469987336714665,10.068850584709853,7.1,1019.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-20,18.0,12.0,24.4,65.31621631329931,65.31621631329931,11.392150563548883,10.01028923739777,10.0,1019.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-21,18.4,13.6,24.9,62.91795821004492,62.91795821004492,11.206046920775623,9.874189347786045,12.9,1017.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-22,20.0,13.2,26.4,59.83051459804602,59.83051459804602,11.952483537034015,10.316473849620634,11.9,1015.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-23,20.4,13.5,27.1,62.483437848441476,62.483437848441476,12.990972414183457,11.028433705114082,8.4,1012.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-24,21.8,12.7,29.8,61.99202833166156,61.99202833166156,14.191065535628429,11.866624317246481,7.7,1011.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-25,22.5,13.4,30.7,56.63879250119085,56.63879250119085,13.45596309584293,11.28710952437515,8.8,1009.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-26,23.6,14.5,31.1,53.46237979200908,53.46237979200908,13.591215862124562,11.34462603134599,8.2,1007.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-27,22.4,15.7,31.1,60.38393916629588,60.38393916629588,14.34969506169416,11.964629286850222,9.1,1007.1,5.1,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-02-28,20.7,12.8,30.3,62.50396365592044,62.50396365592044,13.279371494631958,11.226410889066697,6.0,1010.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-01,20.1,12.5,27.5,65.49213763934586,65.49213763934586,13.428124519363074,11.358887177163487,11.2,1014.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-02,20.2,12.4,26.7,64.19018866225383,64.19018866225383,13.214751150934184,11.198280945272625,16.4,1013.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-03,21.6,13.7,28.0,61.69322178091679,61.69322178091679,13.927838088938413,11.673947201672778,12.9,1012.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-04,21.5,11.8,28.9,62.77592493249322,62.77592493249322,14.101975593212845,11.810408658842908,7.3,1012.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-05,21.9,13.7,28.8,63.25290301562593,63.25290301562593,14.597213317821979,12.177956484048508,14.8,1011.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-06,21.9,13.3,28.9,61.7702362698849,61.7702362698849,14.229977971907719,11.892501583970331,12.3,1010.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-07,23.5,15.8,29.7,64.36946329853873,64.36946329853873,16.384788341570335,13.58163362089545,9.7,1010.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-08,23.4,16.0,29.9,62.461111682165395,62.461111682165395,15.818149732327335,13.104188859411158,11.4,1012.3,1.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-09,24.2,15.6,30.6,58.883485356806055,58.883485356806055,15.647932888730635,12.927483294645912,4.5,1012.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-10,23.8,17.4,32.0,61.13620818966985,61.13620818966985,15.859582955303972,13.121219884161762,5.2,1012.5,0.1,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-11,22.8,14.9,31.6,62.91001413758496,62.91001413758496,15.363409530127011,12.754098664048389,3.9,1013.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-12,21.0,16.4,32.5,64.14395106252833,64.14395106252833,13.961691092225982,11.723458539507144,6.0,1016.0,0.1,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-13,22.1,13.6,28.7,62.092457241811886,62.092457241811886,14.499146861060341,12.092947688965832,8.7,1015.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-14,22.4,14.3,29.6,62.1511092693075,62.1511092693075,14.796849327986024,12.314780924210448,12.6,1012.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-15,23.1,17.0,30.3,60.90442576854604,60.90442576854604,15.141403740776093,12.560956633180446,13.3,1011.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-16,23.6,16.5,30.4,61.14556030793884,61.14556030793884,15.673692502930212,12.974983864716796,13.4,1011.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-17,23.6,16.1,30.8,56.69738417840307,56.69738417840307,14.498203909493565,12.031088458124998,11.4,1010.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-18,24.7,16.2,31.6,55.71936308002971,55.71936308002971,15.252821033681586,12.583164358807329,7.8,1010.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-19,24.1,15.4,32.5,54.15783926394296,54.15783926394296,14.25406274790625,11.822885091667255,10.4,1010.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-20,24.8,17.1,32.1,55.65159229044678,55.65159229044678,15.326911442745388,12.638871488868665,11.9,1008.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-21,23.3,15.4,31.9,55.82860729850612,55.82860729850612,13.97982683230972,11.646183360691737,7.9,1009.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-22,24.1,16.8,30.6,58.072865615565355,58.072865615565355,15.337882890112637,12.677551882572587,10.4,1012.1,0.5,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-23,19.6,15.8,30.4,63.11604327577771,63.11604327577771,12.388687803316348,10.631047510165242,12.6,1013.7,1.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-24,22.5,15.4,30.4,60.679374144354924,60.679374144354924,14.519327101284594,12.092325976466954,8.7,1014.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-25,21.6,13.6,31.2,61.290969383203745,61.290969383203745,13.82697975769766,11.597830683243505,14.6,1013.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-26,22.8,16.3,30.0,58.921422457258025,58.921422457258025,14.345823552996276,11.945469187185815,12.4,1011.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-27,24.0,15.6,31.8,56.748981086919784,56.748981086919784,14.885484868322514,12.318560756577044,6.5,1009.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-28,25.3,17.3,32.8,56.74907518315977,56.74907518315977,16.098107360964153,13.25550058933904,5.2,1007.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-29,27.2,21.0,33.9,52.93376842711829,52.93376842711829,16.767648270341066,13.744536091618285,11.2,1004.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-30,27.0,18.7,35.2,52.90872325409257,52.90872325409257,16.57533126442898,13.586829271792196,9.8,999.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-03-31,24.8,16.4,36.1,57.99160367753179,57.99160367753179,15.970728597611924,13.170304678587723,16.9,1001.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-01,23.2,13.8,32.3,60.08602671047531,60.08602671047531,15.024890324588396,12.46306307829719,15.7,1002.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-02,23.2,14.9,31.7,61.34896653759952,61.34896653759952,15.348878874167978,12.72502246538375,11.1,1005.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-03,23.4,14.4,32.6,60.33928833242587,60.33928833242587,15.278338608163637,12.659035496743195,10.4,1008.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-04,26.2,16.9,34.8,58.14437234089693,58.14437234089693,17.321400595747143,14.282328765021505,12.1,1009.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-05,27.9,18.4,35.7,51.04321288911705,51.04321288911705,16.83958741000554,13.775269102457633,9.8,1008.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-06,26.7,18.6,35.6,51.407739129538356,51.407739129538356,15.846691456530865,12.983622617796213,11.0,1007.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-07,26.3,15.9,34.0,58.97555924511722,58.97555924511722,17.64001997974858,14.567409182227657,7.1,1010.0,10.9,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-08,26.0,17.1,34.4,53.60237921116382,53.60237921116382,15.854661143165211,13.020630377226636,11.0,1008.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-09,26.0,17.6,34.2,56.42849883310845,56.42849883310845,16.66159986621436,13.707127124958772,11.7,1009.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-10,27.5,19.9,35.6,51.997649166948044,51.997649166948044,16.76330492493377,13.727039252588787,11.4,1010.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-11,28.4,20.2,36.6,50.44693415699069,50.44693415699069,17.11367880523468,13.993200523800693,11.5,1010.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-12,30.4,22.2,37.4,48.05398488372914,48.05398488372914,18.173469014930326,14.860800268298364,11.6,1011.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-13,30.2,21.0,37.0,47.196528443330756,47.196528443330756,17.70470148532214,14.438827789930285,12.9,1009.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-14,30.3,23.1,38.4,48.4390939807778,48.4390939807778,18.209399447303174,14.899244037964339,12.9,1008.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-15,30.3,22.4,39.2,49.53718155246775,49.53718155246775,18.567255595259585,15.237001691155719,9.9,1007.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-16,28.0,19.2,37.8,51.91280028544207,51.91280028544207,17.1985466263276,14.087184980391166,9.8,1006.7,0.3,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-17,26.6,19.9,38.3,53.158294031876785,53.158294031876785,16.279486454728257,13.351403047175708,10.9,1010.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-18,26.3,18.2,33.6,51.564144907758426,51.564144907758426,15.525633372767675,12.736733786296195,8.2,1011.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-19,27.8,20.0,35.4,49.66260561155728,49.66260561155728,16.316034034475106,13.329138987088676,12.0,1007.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-20,23.6,19.1,36.4,58.693492630080655,58.693492630080655,15.035380550770904,12.454659275406053,9.9,1007.3,0.9,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-21,24.5,17.5,31.4,57.57228185801722,57.57228185801722,15.576741896216067,12.855753842233423,9.5,1009.0,1.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-22,23.1,17.1,30.0,62.20647381935933,62.20647381935933,15.471182990292103,12.82949161884366,11.6,1011.9,5.5,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-23,20.6,14.2,30.9,60.67136498322906,60.67136498322906,12.729383309680484,10.834053307653194,13.5,1011.0,2.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-24,23.7,15.6,32.2,53.15044799706626,53.15044799706626,13.593795757471158,11.342706381034368,9.5,1010.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-25,26.2,17.9,35.6,50.326754273409705,50.326754273409705,15.05497478807228,12.362043328890126,10.8,1009.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-26,28.3,19.8,37.4,48.963848559852636,48.963848559852636,16.551271681850967,13.507575942367197,9.2,1007.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-27,30.2,21.9,39.0,49.13089721287887,49.13089721287887,18.344159440242745,15.030608975261753,8.8,1006.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-28,31.3,22.6,40.0,46.53981161660831,46.53981161660831,18.482194434797254,15.106332847942449,9.0,1007.2,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-29,29.6,23.8,41.0,50.01019360602042,50.01019360602042,18.07723536069092,14.810339913598808,7.6,1007.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-04-30,30.3,20.3,40.6,47.33099888392869,47.33099888392869,17.84098744713227,14.558408198388598,5.9,1006.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-01,30.4,23.9,38.8,49.56684697634914,49.56684697634914,18.668433481246954,15.328656190056018,5.7,1007.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-02,30.7,22.1,37.0,47.66043696675751,47.66043696675751,18.315961825263443,14.979381886454185,6.7,1007.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-03,30.8,23.4,36.8,48.13486221845989,48.13486221845989,18.56536328571763,15.210136117524428,7.0,1006.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-04,29.6,24.3,37.5,53.3310067384085,53.3310067384085,19.105173196965584,15.793786841792448,7.1,1005.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-05,29.8,20.9,37.8,53.78862545749105,53.78862545749105,19.427484739326964,16.103089021728376,7.5,1006.3,3.6,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-06,27.4,21.4,36.4,53.356492949066286,53.356492949066286,17.07815551371605,14.008242244475301,9.4,1007.8,0.8,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-07,27.9,18.7,35.6,56.56542677119878,56.56542677119878,18.470304572934243,15.265574629115065,4.7,1009.9,6.1,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-08,28.7,21.0,35.6,55.512952265640685,55.512952265640685,18.914142632712053,15.653338262349799,5.8,1008.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-09,29.8,22.5,36.3,49.48177993384666,49.48177993384666,18.091385375801337,14.813717592728247,7.6,1006.2,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-10,27.4,21.3,36.9,50.49722432052745,50.49722432052745,16.210586483380965,13.25756832689164,7.0,1004.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-11,28.4,22.6,35.7,46.74255621435955,46.74255621435955,15.913545906004334,12.965663286237989,8.1,1004.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-12,25.7,21.8,34.2,51.82913253969464,51.82913253969464,15.052343933836154,12.380632488676213,6.1,1002.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-13,25.0,21.7,31.2,58.022202771304315,58.022202771304315,16.16603765500452,13.32641136023192,9.1,1004.2,5.1,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-14,26.9,19.6,34.4,54.32308493479246,54.32308493479246,16.898598948737963,13.872964817961101,6.5,1004.0,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-15,29.1,22.0,35.8,52.21107536606465,52.21107536606465,18.303851734724155,15.047251438811099,5.4,1004.7,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-16,29.3,20.5,37.8,53.47277331624938,53.47277331624938,18.87033599360021,15.57963956029237,6.7,1006.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-17,30.9,21.8,39.6,54.52005748215066,54.52005748215066,20.664514096602876,17.320698570214926,6.7,1005.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-18,28.8,24.9,40.8,54.8588296039334,54.8588296039334,18.817086119719537,15.553651352010498,9.0,1005.5,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-19,23.9,21.6,31.8,60.88081845235177,60.88081845235177,15.88814792621082,13.140752713086119,4.9,1004.6,3.8,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-20,25.6,20.9,31.4,59.087964122765484,59.087964122765484,17.01431811701505,14.035821523086064,8.7,1001.9,0.7,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-21,25.8,17.4,31.8,62.48634275451234,62.48634275451234,18.08939586898197,15.010052565684491,7.2,1004.5,10.9,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-05-22,28.7,21.9,35.8,54.229074550614925,54.229074550614925,18.53962824554267,15.291315142688951,5.6,1004.0,0.0,271,30.3833,76.7667
